A1_EN;A1_FR;A2_EN;A2_FR;B1_EN;B1_FR;B2_EN;B2_FR;C1_EN;C1_FR
1071_0024814;1071_0024816;1091_0000169;1091_0000116;1061_0120283;1061_0120343;1023_0101851;1023_0108888;1031_0003133;1031_0002199
1071_0024802;1071_0024691;;;1061_0120487;1061_0120275;1023_0109401;1023_0101895;1031_0003132;1031_0003136
1071_0024803;1071_0024701;;;1061_0120281;;1023_0109951;1023_0108752;1031_0003155;1031_0003023
1071_0024817;1071_0024759;;;1061_0120481;;1023_0101841;1023_0109880;1031_0003357;1031_0001998
1071_0024778;1071_0024827;;;1061_0120345;;1023_0108423;1023_0109878;1031_0003356;1031_0003170
1071_0024804;;;;1061_0120347;;1023_0107672;1023_0108958;1031_0003354;1031_0003077
1071_0248323;;;;1061_1202911;;1023_0107042;1023_0109716;1031_0002079;1031_0002195
1071_0024864;;;;1061_0120370;;1023_0109022;1023_0109096;1031_0002043;1031_0003274
1071_0024865;;;;1061_0120358;;1023_0101848;1023_0108955;1031_0002187;1031_0003314
1071_0024857;;;;1061_0120881;;;1023_0107244;1031_0002185;1031_0001703
1071_0024840;;;;1061_0120304;;;1023_0108993;;1031_0002197
1071_0024702;;;;;;;1023_0108935;;1031_0003074
1071_0024820;;;;;;;1023_0108931;;
1071_0024775;;;;;;;1023_0109391;;
1071_0024818;;;;;;;1023_0109192;;
;;;;;;;1023_0109609;;
;;;;;;;1023_0108932;;
;;;;;;;1023_0109033;;
;;;;;;;1023_0108933;;